n,theta_idx,method,energy,wall_seconds
6,18,noisy_factored,-4.592942707107558,0.0013804435729980469
6,18,surrogate,-5.541132493102327,0.01037740707397461
6,18,shadow,-4.725,0.038353919982910156
6,19,noiseless,-5.089230149025392,0.00020313262939453125
6,19,noisy_factored,-4.711137439542263,0.0014977455139160156
6,19,surrogate,-5.622663659913569,0.008849143981933594
6,19,shadow,-3.7275,0.03900313377380371
6,20,noiseless,-5.019821445128154,0.00021767616271972656
6,20,noisy_factored,-4.6459361534172885,0.00177001953125
6,20,surrogate,-5.619337994166448,0.012062788009643555
6,20,shadow,-4.544999999999999,0.038606882095336914
6,21,noiseless,-5.0949923400749615,0.0002338886260986328
6,21,noisy_factored,-4.717931304619147,0.0014073848724365234
6,21,surrogate,-5.702251930752983,0.011993885040283203
6,21,shadow,-4.365,0.045737266540527344
6,22,noiseless,-4.884779865461801,0.00023555755615234375
6,22,noisy_factored,-4.514211831667062,0.003324270248413086
6,22,surrogate,-5.010402479196579,0.012228250503540039
6,22,shadow,-4.635,0.03857159614562988
6,23,noiseless,-5.07856501136165,0.00021195411682128906
6,23,noisy_factored,-4.701142686409467,0.0018010139465332031
6,23,surrogate,-5.63002024463449,0.012151956558227539
6,23,shadow,-4.904999999999999,0.049715518951416016
8,0,noiseless,-6.793676364321611,0.0002512931823730469
8,0,noisy_factored,-6.27953052283287,0.018309354782104492
8,0,surrogate,-13.804489557438917,0.08892464637756348
8,0,shadow,-7.4174999999999995,1.2872381210327148
8,1,noiseless,-6.745398322102689,0.0002601146697998047
8,1,noisy_factored,-6.239662260801628,0.018407821655273438
8,1,surrogate,-14.09999265733019,0.08913516998291016
8,1,shadow,-6.547500000000001,1.2831416130065918
8,2,noiseless,-6.943574033837336,0.0002548694610595703
8,2,noisy_factored,-6.419766733586298,0.020793676376342773
8,2,surrogate,-14.147575560493182,0.11617398262023926
8,2,shadow,-6.517500000000002,0.9090051651000977
8,3,noiseless,-7.00840817377669,0.0002579689025878906
8,3,noisy_factored,-6.479898696403944,0.024065732955932617
8,3,surrogate,-14.396984431212314,0.1138615608215332
8,3,shadow,-6.539999999999999,1.38132905960083
8,4,noiseless,-6.592908631769411,0.0003216266632080078
8,4,noisy_factored,-6.097858327832034,0.023905515670776367
8,4,surrogate,-13.525604123322314,0.11563682556152344
8,4,shadow,-4.9125000000000005,1.3920719623565674
8,5,noiseless,-6.7667815333671415,0.00031185150146484375
8,5,noisy_factored,-6.25653933910159,0.023656606674194336
8,5,surrogate,-13.620576952785417,0.11398506164550781
8,5,shadow,-5.490000000000001,1.389521598815918
8,6,noiseless,-6.60578445586859,0.00048160552978515625
8,6,noisy_factored,-6.099203386448904,0.03273463249206543
8,6,surrogate,-13.513551091348306,0.18273353576660156
