n,t_count,instance,n_query,mae,wall_seconds,n_nonzero
8,12,1,8000,0.03571916981737097,3.103712797164917,2041
8,12,2,1000,0.23033383351856113,0.38727402687072754,5220
8,12,2,2000,0.04565102541849601,0.8025102615356445,2576
8,12,2,4000,0.07918455775532791,1.611525535583496,3597
8,12,2,8000,0.08424928722493077,3.4268622398376465,3364
8,14,0,1000,0.322713123700626,0.4093587398529053,6264
8,14,0,2000,0.11482305469841539,0.7657616138458252,4540
8,14,0,4000,0.10857198611819645,2.419666051864624,4029
8,14,0,8000,0.0810158835636275,2.9321186542510986,2423
8,14,1,1000,0.20084487924206,0.3979058265686035,6641
8,14,1,2000,0.09477998162093244,0.7790427207946777,5521
8,14,1,4000,0.048515708783135006,1.490957260131836,1823
8,14,1,8000,0.06047097306066947,4.696056365966797,2655
8,14,2,1000,0.23889198254611071,0.7177724838256836,6683
8,14,2,2000,0.2682380845164601,0.7821393013000488,6870
8,14,2,4000,0.05308441933865058,1.5198745727539062,2493
8,14,2,8000,0.03243595559359184,2.979726791381836,1476
8,16,0,1000,0.07924877950292901,0.742913007736206,3937
8,16,0,2000,0.10008025589494529,0.7669034004211426,3570
8,16,0,4000,0.13546417821308815,1.4860584735870361,4370
8,16,0,8000,0.03416607241995608,2.9858336448669434,1862
8,16,1,1000,0.2002442979524613,0.3917348384857178,5647
8,16,1,2000,0.06298631192062576,0.7791335582733154,3720
8,16,1,4000,0.0995016572845556,2.8559741973876953,5193
8,16,1,8000,0.03711533104576605,4.963077783584595,1771
8,16,2,1000,0.2109009507029544,0.40715813636779785,6086
8,16,2,2000,0.09167866572937515,1.4774951934814453,4665
8,16,2,4000,0.04814424272906741,1.5312612056732178,2868
8,16,2,8000,0.05173066782154131,3.0012052059173584,2476
10,0,0,1000,0.20218392662087448,2.7585184574127197,30431
10,0,0,2000,0.08754538294452589,5.429654836654663,19224
10,0,0,4000,0.09148725396749371,8.74466848373413,13139
10,0,0,8000,0.030205233066585502,14.420993566513062,7627
10,0,1,1000,0.6958858549605861,3.3951737880706787,30660
10,0,1,2000,0.08909148231886524,4.699936389923096,19754
10,0,1,4000,0.06192640436427419,9.576312780380249,12061
10,0,1,8000,0.1028778703822482,20.98824405670166,11593
10,0,2,1000,0.15445428082924723,2.4017953872680664,28912
10,0,2,2000,0.14024131074186566,4.212559223175049,20041
10,0,2,4000,0.05920308858516739,8.280528783798218,11987
10,0,2,8000,0.033099674906541546,14.914225816726685,7488
10,2,0,1000,0.18076392424353396,2.371530532836914,31423
10,2,0,2000,0.2915384649197025,3.962574005126953,21208
10,2,0,4000,0.11833957764544148,10.914891004562378,18520
10,2,0,8000,0.04716362084857244,15.225966691970825,8564
10,2,1,1000,0.15463116636859514,2.2415342330932617,29740
10,2,1,2000,0.10327320084289807,3.8568825721740723,19533
10,2,1,4000,0.062003985882217894,7.968020439147949,11865
10,2,1,8000,0.04566350242733611,20.286505699157715,9896
10,2,2,1000,0.20665060392945903,2.265399217605591,29002
10,2,2,2000,0.8742209270346185,4.178803443908691,28445
10,2,2,4000,0.07969492844060833,7.618549346923828,14538
10,2,2,8000,0.03453370338361589,14.286144971847534,8108
10,4,0,1000,0.17173666780844873,2.4324352741241455,30404
10,4,0,2000,0.0944260650008738,5.039144039154053,20120
10,4,0,4000,0.05686014074771341,9.356092929840088,12368
10,4,0,8000,0.04427477168901058,14.553605556488037,8554
10,4,1,1000,0.17608535662609598,3.157041072845459,29310
10,4,1,2000,0.1053355926284053,4.031870603561401,19912
10,4,1,4000,0.14100262084875462,7.7131187915802,20526
10,4,1,8000,0.0365204860326382,17.966590642929077,9153
10,4,2,1000,0.21935729897540143,2.4063541889190674,31254
10,4,2,2000,0.1087296465413496,4.114011287689209,20028
10,4,2,4000,0.10250829058887301,8.652977228164673,13261
10,4,2,8000,0.04854931910939032,14.859756708145142,8949
10,6,0,1000,0.36638486502723633,2.560889959335327,33594
10,6,0,2000,0.13519015891410174,3.7739763259887695,19636
10,6,0,4000,0.12544172756807911,10.02320647239685,15062
10,6,0,8000,0.07060437343308432,16.43501567840576,9866
10,6,1,1000,0.17332523488799492,2.1236491203308105,29712
10,6,1,2000,0.26840644783151435,4.077819585800171,26538
