trial,gauss_deviation,shadow_deviation
728,-0.088939,-0.029325
729,0.058341,-0.041043
730,-0.027802,0.117636
731,-0.208919,-0.206838
732,-0.021019,0.134793
733,0.065539,-0.151895
734,0.136999,-0.042775
735,-0.152894,-0.007619
736,0.055289,0.109569
737,-0.024392,-0.011270
738,0.062112,-0.064481
739,-0.061607,0.134793
740,0.010952,0.042775
741,0.016282,0.105917
742,0.041160,-0.007619
743,-0.224756,-0.019338
744,0.069261,0.203319
745,-0.116903,0.087918
746,-0.081430,0.076144
747,-0.073069,-0.094198
748,0.162726,0.124806
749,0.036848,-0.022989
750,-0.083911,-0.023886
751,0.232974,0.052762
752,-0.041078,0.022989
753,-0.091063,-0.064425
754,-0.021668,-0.005832
755,-0.001299,0.042775
756,0.006496,0.052762
757,-0.021499,-0.007619
758,0.137532,-0.017606
759,-0.017043,0.062694
760,0.051953,0.012167
761,0.061595,0.052762
762,-0.098037,-0.011270
763,0.092667,0.064425
764,0.163957,0.031056
765,-0.066746,-0.042775
766,-0.004265,0.066213
767,0.041908,-0.062694
768,0.047770,0.052762
769,-0.107528,0.022989
770,-0.126542,-0.046427
771,-0.012688,-0.066213
772,0.212192,0.066213
773,0.014074,-0.128458
774,0.019251,0.004100
775,-0.134672,0.089650
776,0.087070,-0.215037
777,-0.098794,0.116739
778,0.097804,0.123019
779,-0.101893,0.012167
780,-0.092757,0.176230
781,0.065415,0.042775
782,-0.134594,0.099582
783,-0.009201,0.082480
784,0.010435,-0.000448
785,-0.054426,-0.007619
786,-0.157622,-0.000448
787,-0.021498,-0.121287
788,0.095302,0.005887
789,0.057209,-0.034708
790,-0.145462,0.070761
791,-0.027881,0.004100
792,-0.005062,-0.140177
793,-0.027554,0.019338
794,0.007933,0.121287
795,-0.222653,0.007619
796,-0.080357,0.005832
797,0.033811,0.158231
798,0.040071,-0.039256
799,-0.005027,-0.133006
800,-0.159961,-0.117636
801,0.111961,0.005832
802,-0.109435,0.094198
803,0.052355,0.035605
804,-0.056385,0.101369
805,-0.039429,-0.152792
806,-0.134347,0.082480
807,-0.028681,-0.101369
808,-0.177021,-0.105020
809,0.036927,-0.099582
810,-0.108503,-0.216769
811,-0.132447,0.027537
812,-0.088026,0.005832
813,0.033896,-0.034708
814,0.036044,0.251925
815,-0.121396,0.148244
816,0.032796,0.117636
817,0.107610,0.141073
818,0.074676,0.005887
819,0.026925,0.050975
820,-0.090529,0.097850
821,0.070427,-0.064481
822,0.052428,0.076144
823,-0.161234,0.216769
824,0.186917,-0.062694
825,0.214563,0.062694
826,-0.041696,0.156444
827,0.094939,-0.168162
828,-0.008895,0.047323
829,0.038693,-0.123019
830,-0.190868,-0.141073
831,-0.180598,-0.050975
832,-0.006361,-0.064425
833,-0.170651,-0.123075
834,0.250824,0.205050
835,-0.030906,-0.164511
836,-0.135760,0.007619
837,-0.162429,0.097850
838,-0.104729,-0.000448
839,-0.006214,0.158175
840,0.164567,-0.113088
841,-0.012175,0.034708
842,0.137386,0.064481
843,-0.032038,0.094198
844,0.016707,-0.017550
845,-0.060177,-0.031056
846,0.072029,0.017550
847,-0.072835,-0.109569
848,0.009527,-0.081583
849,-0.123714,0.076144
850,0.064401,-0.015819
851,-0.184923,-0.017606
852,-0.028511,0.146457
853,-0.143991,0.042775
854,0.077508,0.035605
855,-0.070981,0.216769
856,-0.028462,0.004100
857,-0.017457,-0.181613
858,0.200690,-0.245645
859,-0.003047,0.047323
860,0.046693,-0.076144
861,0.022625,0.123075
862,-0.039249,0.211386
863,-0.078150,-0.099637
864,0.093371,-0.087863
865,-0.080751,-0.222208
866,0.139199,-0.069864
867,-0.103244,0.181613
868,-0.081700,-0.027537
869,-0.195534,-0.052762
870,0.023043,0.181668
871,-0.193037,-0.029269
872,-0.064488,0.129355
873,-0.235018,-0.029325
874,-0.042034,0.070761
875,0.054175,-0.007619
876,0.099749,-0.017606
877,-0.027181,0.105020
878,-0.227629,0.004100
879,-0.037156,-0.094198
880,0.068075,0.109569
881,0.119923,0.011270
882,0.007314,0.015819
883,0.005425,-0.159963
884,-0.001248,-0.111356
885,-0.030314,-0.042775
886,-0.089810,-0.031056
887,0.036265,-0.023886
888,0.283426,0.081583
889,-0.040659,-0.019338
890,0.120085,0.040988
891,-0.254812,0.052707
892,0.089904,0.034708
893,-0.075877,0.019338
894,-0.136427,0.000448
895,0.081790,0.027537
896,-0.132584,0.081583
897,0.139298,0.163614
898,0.165142,0.179881
899,0.026227,-0.005887
900,-0.190098,0.129355
901,-0.158659,0.076144
902,-0.080255,-0.031056
903,-0.043471,0.240207
904,0.356586,-0.151895
905,0.273699,-0.040988
906,0.096846,-0.082480
907,0.097106,-0.047323
908,-0.087008,0.134738
909,-0.031630,0.064481
910,0.197132,0.041043
911,0.013930,-0.123019
912,-0.137246,-0.109569
913,-0.107648,-0.176230
914,-0.025377,-0.062694
915,-0.031888,0.041043
916,-0.073700,0.105020
917,0.132845,0.077931
918,0.043459,-0.034708
919,-0.006858,-0.269083
920,0.075828,0.101369
921,0.129877,0.064481
922,-0.013036,-0.134793
923,0.061159,0.059042
924,0.014422,0.081583
925,0.029377,-0.052707
926,-0.215771,-0.034708
927,-0.067075,-0.183400
928,0.174840,-0.040988
929,-0.030513,0.094198
930,0.183993,-0.017550
931,0.236560,0.109569
932,-0.010660,-0.111300
933,0.082810,-0.034708
934,0.142693,0.109569
935,-0.075649,0.151895
936,0.051214,-0.047323
937,0.065797,-0.099637
938,-0.032236,0.113088
939,0.028685,0.275418
940,-0.164847,0.216825
941,0.048136,0.023886
942,-0.109535,0.027537
943,-0.071389,-0.171681
944,-0.113344,0.205050
945,-0.144586,0.123019
946,-0.092433,-0.029325
947,0.057705,0.076200
948,-0.134563,-0.140177
949,-0.176219,0.046427
950,-0.126800,-0.022989
951,-0.124289,0.121287
952,-0.093219,-0.093302
953,0.048443,0.121287
954,-0.019127,-0.164511
955,0.016207,0.101369
956,-0.074273,-0.019338
957,0.018147,0.004100
958,0.065705,0.216769
959,0.012431,-0.240207
960,-0.090951,-0.111356
961,0.022468,0.193387
962,0.069030,-0.158231
963,0.064532,-0.076144
964,0.107650,0.195119
965,-0.037412,-0.111300
966,0.138229,0.124806
967,0.245433,0.035605
968,-0.068945,0.029269
969,-0.095560,0.000448
970,-0.277050,0.087863
971,-0.082091,0.023886
972,0.026253,-0.035605
973,0.053876,-0.070761
974,-0.051694,-0.052707
975,0.037660,-0.168162
976,-0.105285,0.069864
977,0.096857,0.076144
978,-0.105759,0.058145
979,0.112746,-0.027537
980,0.100229,-0.039256
981,0.003037,0.141073
982,0.039655,-0.111356
983,0.188197,-0.164511
984,-0.063762,0.000448
985,0.107047,0.187948
986,-0.131370,0.015819
987,-0.171478,-0.156444
988,-0.077298,0.140177
989,-0.047013,-0.046427
990,0.018848,-0.007619
991,0.005209,-0.141073
992,0.110339,-0.117636
993,-0.083400,-0.164511
994,0.101794,-0.019338
995,-0.137705,0.152792
996,-0.122538,0.094198
997,-0.012481,-0.027537
998,-0.170369,-0.052707
999,-0.135781,-0.169950
1000,-0.050047,0.064425
1001,0.072504,-0.152792
1002,0.013910,-0.012167
1003,-0.068411,0.029325
1004,-0.062118,0.029269
1005,0.002782,0.164511
1006,-0.203619,0.193332
1007,-0.102894,0.041043
1008,-0.179254,-0.136525
1009,0.037812,-0.140177
1010,-0.098214,-0.042775
1011,-0.176789,-0.133006
1012,0.074715,0.111356
1013,0.004501,-0.116739
1014,0.041734,0.052707
1015,0.153565,0.040988
1016,0.227916,0.034708
1017,0.018790,0.077931
1018,0.080858,-0.040988
1019,-0.092385,-0.077931
1020,-0.304192,0.041043
1021,-0.025153,-0.134738
1022,-0.004396,-0.087863
1023,-0.106051,-0.047323
1024,0.044250,-0.031056
1025,0.172235,-0.064481
1026,-0.046717,-0.027537
1027,0.153749,0.105917
1028,-0.050259,0.070761
1029,0.233614,0.305136
1030,0.003851,0.140177
1031,0.007042,0.007619
1032,-0.070597,-0.148244
1033,-0.125385,-0.007619
1034,-0.011233,-0.171681
1035,-0.142834,0.105917
1036,-0.055231,0.039256
1037,-0.046470,0.064425
1038,0.015887,0.163614
1039,0.017751,-0.275418
1040,-0.109109,0.007619
1041,-0.081184,-0.240262
1042,0.179120,-0.211386
1043,0.029604,-0.105020
1044,-0.107565,0.047323
1045,0.005592,0.015819
1046,0.000610,-0.156444
1047,-0.117668,0.005887
1048,0.058461,0.156444
1049,0.062997,0.029325
1050,0.113834,-0.058145
1051,-0.108907,0.059042
1052,0.071165,0.123019
1053,-0.012505,-0.019338
1054,0.212652,0.035605
1055,-0.111623,0.134793
1056,-0.038624,0.240207
1057,0.133604,-0.050975
1058,-0.166314,-0.105020
1059,0.123695,0.136525
1060,-0.028427,0.046427
1061,0.075798,-0.047323
1062,-0.160869,0.151895
1063,-0.141851,0.012167
1064,-0.168183,0.052707
