unitary_idx,tau,N,distribution,mse,mae
3,0.15,100,computational,0.029975,0.142382
3,0.15,100,stabilizer,0.040868,0.171585
3,0.15,100,haar,0.021545,0.121218
3,0.15,150,computational,0.032375,0.147106
3,0.15,150,stabilizer,0.032195,0.141013
3,0.15,150,haar,0.018971,0.114702
3,0.15,200,computational,0.021030,0.116026
3,0.15,200,stabilizer,0.025331,0.121090
3,0.15,200,haar,0.019917,0.119902
3,0.15,250,computational,0.017985,0.099195
3,0.15,250,stabilizer,0.020873,0.114123
3,0.15,250,haar,0.020377,0.118492
3,0.15,300,computational,0.021329,0.107109
3,0.15,300,stabilizer,0.021542,0.122428
3,0.15,300,haar,0.019909,0.118440
3,0.15,350,computational,0.014132,0.100979
3,0.15,350,stabilizer,0.017823,0.104537
3,0.15,350,haar,0.019794,0.115961
3,0.15,400,computational,0.014192,0.094843
3,0.15,400,stabilizer,0.017995,0.107737
3,0.15,400,haar,0.018223,0.112646
3,0.15,450,computational,0.015622,0.099377
3,0.15,450,stabilizer,0.014234,0.091389
3,0.15,450,haar,0.019381,0.117720
3,0.15,500,computational,0.013462,0.090113
3,0.15,500,stabilizer,0.016110,0.101559
3,0.15,500,haar,0.019173,0.116149
3,0.25,50,computational,0.091361,0.252738
3,0.25,50,stabilizer,0.099236,0.247910
3,0.25,50,haar,0.030935,0.148107
3,0.25,100,computational,0.042212,0.169830
3,0.25,100,stabilizer,0.060689,0.197435
3,0.25,100,haar,0.030623,0.141378
3,0.25,150,computational,0.031470,0.135015
3,0.25,150,stabilizer,0.062007,0.199719
3,0.25,150,haar,0.023514,0.124172
3,0.25,200,computational,0.029847,0.136167
3,0.25,200,stabilizer,0.030184,0.141815
3,0.25,200,haar,0.023262,0.125358
3,0.25,250,computational,0.029516,0.143182
3,0.25,250,stabilizer,0.027677,0.133968
3,0.25,250,haar,0.022544,0.123281
3,0.25,300,computational,0.019161,0.110639
3,0.25,300,stabilizer,0.023609,0.123240
3,0.25,300,haar,0.022376,0.124422
3,0.25,350,computational,0.018143,0.107922
3,0.25,350,stabilizer,0.026428,0.133506
3,0.25,350,haar,0.020443,0.121186
3,0.25,400,computational,0.017315,0.107315
3,0.25,400,stabilizer,0.021997,0.115525
3,0.25,400,haar,0.019463,0.113230
3,0.25,450,computational,0.017498,0.101074
3,0.25,450,stabilizer,0.024692,0.128679
3,0.25,450,haar,0.019799,0.115798
3,0.25,500,computational,0.016992,0.102528
3,0.25,500,stabilizer,0.015948,0.102222
3,0.25,500,haar,0.019911,0.117978
4,0.05,50,computational,0.116024,0.263269
4,0.05,50,stabilizer,0.065139,0.213282
4,0.05,50,haar,0.018560,0.110367
4,0.05,100,computational,0.042658,0.164664
4,0.05,100,stabilizer,0.034076,0.145878
4,0.05,100,haar,0.013769,0.091669
4,0.05,150,computational,0.022849,0.115038
4,0.05,150,stabilizer,0.027457,0.129941
4,0.05,150,haar,0.014122,0.095603
4,0.05,200,computational,0.018131,0.104908
4,0.05,200,stabilizer,0.019807,0.109451
4,0.05,200,haar,0.013673,0.093155
4,0.05,250,computational,0.015561,0.100896
4,0.05,250,stabilizer,0.016678,0.098079
4,0.05,250,haar,0.012506,0.086432
4,0.05,300,computational,0.020944,0.125060
4,0.05,300,stabilizer,0.017574,0.102551
4,0.05,300,haar,0.012490,0.088902
4,0.05,350,computational,0.013532,0.089866
4,0.05,350,stabilizer,0.015912,0.101167
4,0.05,350,haar,0.013359,0.090672
4,0.05,400,computational,0.015509,0.101669
4,0.05,400,stabilizer,0.017417,0.105139
4,0.05,400,haar,0.012679,0.087089
4,0.05,450,computational,0.014632,0.099670
4,0.05,450,stabilizer,0.014035,0.093052
4,0.05,450,haar,0.013024,0.089637
4,0.05,500,computational,0.015172,0.102957
4,0.05,500,stabilizer,0.013364,0.092698
4,0.05,500,haar,0.012620,0.088045
4,0.15,50,computational,0.050080,0.182461
4,0.15,50,stabilizer,0.093352,0.245199
4,0.15,50,haar,0.020689,0.120300
4,0.15,100,computational,0.030538,0.140849
4,0.15,100,stabilizer,0.050489,0.177236
4,0.15,100,haar,0.016560,0.101327
4,0.15,150,computational,0.033050,0.148083
4,0.15,150,stabilizer,0.030904,0.136475
4,0.15,150,haar,0.015017,0.090705
4,0.15,200,computational,0.025544,0.129445
4,0.15,200,stabilizer,0.019054,0.112940
4,0.15,200,haar,0.012753,0.088485
4,0.15,250,computational,0.018746,0.107680
4,0.15,250,stabilizer,0.021897,0.114526
4,0.15,250,haar,0.012809,0.090597
4,0.15,300,computational,0.021325,0.115878
4,0.15,300,stabilizer,0.015668,0.094860
4,0.15,300,haar,0.012152,0.086619
4,0.15,350,computational,0.019950,0.112288
4,0.15,350,stabilizer,0.019350,0.110063
4,0.15,350,haar,0.011743,0.087120
4,0.15,400,computational,0.019146,0.113295
4,0.15,400,stabilizer,0.016097,0.098665
4,0.15,400,haar,0.012132,0.087378
4,0.15,450,computational,0.016377,0.100601
4,0.15,450,stabilizer,0.014615,0.097479
4,0.15,450,haar,0.010545,0.082299
4,0.15,500,computational,0.016752,0.110498
4,0.15,500,stabilizer,0.016743,0.100762
4,0.15,500,haar,0.011685,0.083509
4,0.25,50,computational,0.049317,0.178234
